Model,TP,FP,FN,TN,Precision,Recall,F1-Score,Accuracy
SVM (poly),565,3,35,496,0.9947183098591549,0.9416666666666667,0.9674657534246576,0.9654231119199272
K-NN (k=11),562,4,38,495,0.9929328621908127,0.9366666666666666,0.9639794168096055,0.9617834394904459
Naive Bayes,533,0,67,499,1.0,0.8883333333333333,0.940864960282436,0.9390354868061874
"Decision Tree (entropy, d=5)",567,3,33,496,0.9947368421052631,0.945,0.9692307692307691,0.9672429481346679
